headline;type;date;section;author;authorInfo;location;url
Estas son las claves del rechazo de Unidos Podemos al decreto de alquileres;news;08/01/2019;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/indices-Unidos-Podemos-rechazar-alquileres_0_854964619.html
2018: y el patinete tomó la ciudad;news;28/12/2018;mejores_ciudades;Analía Plaza;;;eldiario.es/madrid/ano-patinetemania-ciudad_0_850415531.html
Por el derecho a la quietud;opinion;27/12/2018;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/derecho-quietud_6_850824915.html
El primer intento de paralizar Madrid Central acaba con duros reproches de la Justicia al PP y a la Comunidad de Madrid;news;21/12/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Madrid-Central-reproches-Justicia-PP-Comunidad_0_848665407.html
La Justicia rechaza paralizar Madrid Central como pedían el PP y el Gobierno de la Comunidad;news;21/12/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Justicia-Madrid-Central-PP-Comunidad_0_848665288.html
La bicicleta, lo más rápido y eficaz en la ciudad;opinion;19/12/2018;mejores_ciudades;Juan Parra Martínez,Honorio Porcar Marín;Profesor de Ciencias del Deporte / Graduado en Ciencias del Deporte;;eldiario.es/tribunaabierta/bicicleta-rapido-eficaz-ciudad_6_848025201.html
Ya está publicado el decreto de vivienda: así afecta a los contratos que se firmen a partir de mañana miércoles;news;18/12/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/claves-decreto-vivienda-contratos-miercoles_0_847615289.html
Vecinos y ayuntamientos afectados por el boom del alquiler exigen al Gobierno que rectifique y controle los precios;news;17/12/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/sindicatos-confluencias-Podemos-IU-Gobierno_0_847265456.html
El Gobierno retrasa a esta semana la entrada en vigor del decreto de Vivienda ;news;17/12/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Gobierno-retrasar-miercoles-entrada-Vivienda_0_847265343.html
La East Side Gallery del muro de Berlín, salvada de la amenazante gentrificación;news;16/12/2018;mejores_ciudades;Aldo Mas;;Berlín;eldiario.es/cultura/arte/East-Side-Gallery-Berlin-gentrificacion_0_845865702.html
Airbnb se prepara para identificar ante Hacienda a propietarios, intermediarios y clientes a partir de enero ;news;14/12/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Airbnb-compartir-Hacienda-informacion-propietarios_0_845865525.html
Los Ángeles y Nueva York limitan la expansión de Airbnb;news;12/12/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Angeles-Nueva-York-golpean-Airbnb_0_845515666.html
El Supremo anula la obligación de registrar los pisos turísticos para publicitarlos en la Comunidad de Madrid ;news;12/12/2018;mejores_ciudades;Sofía Pérez Mendoza;;;eldiario.es/madrid/Supremo-obligacion-publicitarlos-Comunidad-Madrid_0_845515854.html
Balance de los diez primeros días de Madrid Central: 10.000 viajeros más al día de autobús y reducción del tráfico;news;11/12/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Balance-primeros-Madrid-Central-reduccion_0_845165805.html
Carmena vuelve a aprobar el protocolo anticontaminación endurecido tras el visto bueno de la Comunidad;news;10/12/2018;mejores_ciudades;Europa Press;;;eldiario.es/madrid/anticontaminacion-endurecido-Carmena-Comunidad-Madrid_0_844815940.html
Una empresa de alquiler de coches anima a sus usuarios a saltarse Madrid Central porque todavía no hay multas;news;05/12/2018;mejores_ciudades;Sofía Pérez Mendoza;;;eldiario.es/madrid/Seat-alquiler-saltarse-Madrid-Central_0_843066453.html
El Gobierno de Carmena suspende la autorización de patinetes tras recibir peticiones para poner 25.000 en las calles;news;05/12/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Gobierno-Carmena-autorizacion-patinetes-solicitudes_0_842716499.html
Madrid suspende la actividad de las tres empresas de patinetes de alquiler: tienen 72 horas para retirarlos;news;04/12/2018;mejores_ciudades;Analía Plaza;;;eldiario.es/madrid/Madrid-empresas-patinetes-alquiler-retirarlos_0_842715889.html
Salvar un gimnasio para salvar la ciudad;opinion;03/12/2018;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/Salvar-gimnasio-salvar-ciudad_6_842425785.html
PP y Ciudadanos suavizan sus ataques a Madrid Central en un primer día sin caos en las calles;news;30/11/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/PP-Ciudadanos-suavizan-Madrid-Central_0_841316724.html
Guía útil para circular por Madrid Central si te mueves en dos ruedas;news;30/11/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Madrid-Central-guia_0_840966976.html
Arranca Madrid Central en medio de una guerra política y a la espera de la decisión de los tribunales;news;29/11/2018;mejores_ciudades;Sofía Pérez Mendoza,Fátima Caballero;;;eldiario.es/madrid/Madrid-Central-tribunales-administraciones-enfrentadas_0_840966687.html
Muertes por patinetes: las aseguradoras preparan pólizas y las empresas de alquiler campañas de imagen;news;29/11/2018;mejores_ciudades;Analía Plaza;;;eldiario.es/politica/Accidentes-patinete-aseguradoras-preparan-empresas_0_840966880.html
Tres grandes municipios se saltan el plazo para entregar a la Comunidad de Madrid sus protocolos anticontaminación ;news;27/11/2018;mejores_ciudades;Sofía Pérez Mendoza;;;eldiario.es/madrid/Comunidad-Madrid-protocolos-anticontaminacion-municipios_0_840266702.html
Los gestores de vivienda pública piden a Hacienda que los ayuntamientos puedan usar su superávit en inmuebles sociales;news;27/11/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/gestores-Hacienda-ayuntamientos-superavit-construccion_0_840266468.html
Las políticas de movilidad de Carmena enfrentan al PSOE municipal y en la región;news;26/11/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/politicas-movilidad-Carmena-PSOE-Ayuntamiento_0_839916907.html
Todo lo que necesitas saber sobre las restricciones al tráfico de Madrid Central;news;25/11/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/guia-definitiva-Madrid-Central-escape_0_838866852.html
Madrid Central: el alma de Madrid;opinion;23/11/2018;mejores_ciudades;Economistas Sin Fronteras ;Bruno Estrada;;eldiario.es/zonacritica/Madrid-Central-alma_6_838576153.html
El Gobierno y Unidos Podemos chocan en el acuerdo de Vivienda por los índices de precios y el derecho de tanteo ;news;23/11/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Gobierno-Unidos-Podemos-controlar-alquileres_0_838516558.html
"""El futuro de una ciudad son los niños: si es buena para ellos, es buena para todos""";news;23/11/2018;mejores_ciudades;Mar Domènech;;;eldiario.es/nidos/futuro-ciudad-ninos-buena_0_838166906.html
El Gobierno de Carmena recurre a Bruselas para que garantice Madrid Central tras el recurso de la Comunidad;news;21/11/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Gobierno-Carmena-Bruselas-Central-Comunidad_0_838167023.html
Las políticas de libre elección de colegios de Aguirre afectan a la movilidad: más familias usan el coche para ir al centro;news;18/11/2018;mejores_ciudades;Sofía Pérez Mendoza;;;eldiario.es/madrid/Libertad-eleccion-colegios-concertados_0_836416496.html
Cómo una provincia canadiense del tamaño de Francia ha conseguido librarse de las ratas;news;18/11/2018;mejores_ciudades;Ashifa Kassam;;Langdon, Alberta;eldiario.es/theguardian/provincia-canadiense-Francia-conseguido-librarse_0_836417233.html
Madrid Central: un buen primer paso hacia otro modelo de región;opinion;15/11/2018;mejores_ciudades;Mauricio Valiente,Yolanda Hidalgo,Carlos Sánchez Mato,Lola Sánchez Ruiz;Tercer Teniente Alcalde del Ayuntamiento de Madrid / Portavoz Izquierda Unida Getafe / Concejal Distritos de Latina y Vicálvaro / Portavoz Izquierda Unida Majadahonda;;eldiario.es/tribunaabierta/Madrid-Central-primer-modelo-region_6_836126411.html
Una metáfora para Madrid Central;opinion;15/11/2018;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/metafora-Madrid-Central_6_836126410.html
Los fondos inmobiliarios amenazan al Gobierno con una caída de las inversiones si lleva a cabo su plan de Vivienda ;news;14/11/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Promotores-emprenden-Vivienda-Gobierno-Podemos_0_835716632.html
Madrid y la basura orgánica: en pos de Europa;opinion;09/11/2018;mejores_ciudades;Economistas Sin Fronteras ;Sara Ramón Bruquetas;;eldiario.es/zonacritica/Madrid-basura-organica-pos-Europa_6_834026601.html
Madrid Central y el modelo de ciudad;opinion;07/11/2018;mejores_ciudades;Manuel de la Rocha Rubí;Abogado, ex diputado del PSOE, miembro del patronato de la Fundación Alternativas;;eldiario.es/tribunaabierta/Madrid-Central-modelo-ciudad_6_833326688.html
"""Cada vez es más difícil pensar que las transformaciones urbanas se puedan hacer de espaldas a quienes las disfrutan o las sufren""";opinion;06/11/2018;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/dificil-transformaciones-espaldas-personas-disfrutan_6_832976709.html
"Cómo hacer ciudades para la infancia: ¿Y si cambiamos ""prohibido jugar a la pelota"" por ""juega respetando""?";news;02/11/2018;mejores_ciudades;Elena Couceiro;;;eldiario.es/nidos/ciudad-territorio-hostil-infancia_0_830467770.html
Metro de Madrid no encuentra maquinistas de urgencia para solucionar las aglomeraciones ;news;31/10/2018;mejores_ciudades;Sofía Pérez Mendoza;;;eldiario.es/madrid/Metro-Madrid-maquinistas-solucionar-aglomeraciones_0_830817287.html
"""Madrid Central es un punto de apoyo para hacer palanca en las políticas de movilidad de toda la ciudad""";news;30/10/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Entrevista-Jorge-Garcia-Castano_0_830467179.html
Madrid Central, un beneficio para todas las personas;opinion;29/10/2018;mejores_ciudades;Inés Sabanés,Jorge García Castaño;;;eldiario.es/tribunaabierta/Madrid-Central-beneficio-todas-personas_6_830177039.html
La movilidad en Madrid, a debate: estas son las propuestas de los partidos para solucionar la contaminación;news;28/10/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Politicas-com_0_829067876.html
Llega el Commonspoly: el Monopoly sin banca ni especulación urbanística donde cooperar es ganar;news;27/10/2018;mejores_ciudades;Marta Barandela;;;eldiario.es/cultura/Commonspoly_0_828367326.html
Quince empresas más de patinetes eléctricos quieren instalarse en Madrid;news;25/10/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Gobierno-Carmena-interesadas-implantarse-Madrid_0_828717984.html
Francia quiere poner en marcha un registro de bicis para fomentar su uso;news;24/10/2018;mejores_ciudades;Kim Willsher;;París;eldiario.es/theguardian/Francia-quiere-marcha-registro-fomentar_0_827667532.html
Primer día de la normativa de movilidad en Madrid: suspenden los motoristas, aprueban los patinetes;news;24/10/2018;mejores_ciudades;Marta Barandela;;;eldiario.es/madrid/Primer-normativa-Madrid-confusiones-Central_0_828367828.html
El enfrentamiento institucional deja a Madrid sin un plan de transporte público a las puertas de las restricciones al coche;news;24/10/2018;mejores_ciudades;Sofía Pérez Mendoza,Fátima Caballero;;;eldiario.es/madrid/enfrentamiento-Madrid-Central-contingencia-transporte_0_828367674.html
VÍDEO | ¿En patinete o a pie? Esto es lo que pasa si recorres Madrid cumpliendo la nueva normativa;news;24/10/2018;mejores_ciudades;David F. Ferreiro,Cristina Pozo García;;;eldiario.es/madrid/VIDEO-patinete-Madrid-cumpliendo-normativa_0_828367273.html
Patinetes eléctricos: ¿Traba para los peatones o alternativa ecológica?;news;23/10/2018;mejores_ciudades;David F. Ferreiro,Cristina Pozo García;;;eldiario.es/madrid/Patinetes-electricos-Traba-alternativa-ecologica_0_828018393.html
El límite de velocidad pasa a ser de 30km/h en el 80% de las calles de Madrid;news;23/10/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Entra-vigor-ordenanza-movilidad-Madrid_0_828017566.html
Los índices de precios del alquiler se determinarán con un análisis de las fianzas depositadas en las comunidades autónomas;news;23/10/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/observatorio-registrara-determinar-permitidos-tensionadas_0_825567698.html
"""El barrio es un buen lugar para reagruparse, cuidarse y rearmarse frente al viento helado del neoliberalismo""";opinion;22/10/2018;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/Vivimos-momento-disolucion-bestial-comunitarios_6_827377256.html
El 55% de los taxis de Madrid utiliza diésel, el combustible que más gases contaminantes produce;news;20/10/2018;mejores_ciudades;Ana Ordaz,Fátima Caballero,Pablo J. Álvarez;;;eldiario.es/madrid/taxis-Madrid-utilizan-combustible-diesel_0_816818480.html
"""Se van a prohibir las actitudes racistas en los anuncios de alquiler. Es inadmisible""";news;19/10/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/prohibir-actitudes-racistas-anuncios-inadmisible_0_826617450.html
¿Y si pacificar el tráfico es una declaración de guerra?;opinion;18/10/2018;mejores_ciudades;"José Luis Fdez. Casadevante ""Kois""";;;eldiario.es/ultima-llamada/pacificar-trafico-declaracion-guerra_6_826327389.html
La Pájara Ciclomensajería: la alternativa cooperativa a Deliveroo ya está moviéndose por Madrid;opinion;17/10/2018;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/Pajara-Ciclomensajeria-alternativa-Deliveroo-Madrid_6_825977398.html
"""Plantearemos a Sánchez que no ponga ningún límite a los alcaldes para gastar nuestro superávit""";news;16/10/2018;mejores_ciudades;Gonzalo Cortizo;;;eldiario.es/politica/Abel-Caballero_0_825568384.html
El Gobierno de Carmena propone catalogar todos los pisos en alquiler por metros y situación para bajar los precios;news;16/10/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Ayuntamiento-Madrid-catalogara-viviendas-alquiler_0_825568211.html
Alud de licencias de inmobiliarias en Barcelona para esquivar la obligación de reservar un 30% de pisos sociales;news;15/10/2018;mejores_ciudades;Pau Rodríguez;;;eldiario.es/catalunya/inmobiliarias-triplican-licencias-esquivar-Colau_0_825217987.html
Novedades en vivienda: los ayuntamientos regularán precios y los contratos de alquiler podrán durar hasta 7 años;news;11/10/2018;mejores_ciudades;Marina Estévez Torreblanca,Aitor Riveiro;;;eldiario.es/economia/Novedades-vivienda-ayuntamientos-regularan-alquileres_0_823817695.html
La regulación del alquiler y la partida de Vivienda complican la negociación presupuestaria entre el Gobierno y Podemos;news;08/10/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/mesa-vivienda_0_821718081.html
Al rescate del cine de siempre;opinion;08/10/2018;mejores_ciudades;J. P. Velázquez-Gaztelu;;;eldiario.es/alternativaseconomicas/rescate-cine-siempre_6_822827736.html
"""Si el PSOE no toma medidas valientes, la burbuja del alquiler desembocará en otra burbuja hipotecaria""";news;07/10/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/PSOE-ceja-modelo-vivienda-propiedad_0_820668652.html
Nueva ordenanza de movilidad de Madrid: sobre disciplina y educación;opinion;05/10/2018;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/Nueva-ordenanza-movilidad-Madrid-disciplina_6_821777826.html
El acoso callejero como problema global: el 40% de las mujeres evita lugares en los que lo ha sufrido;news;05/10/2018;mejores_ciudades;Belén Remacha;;;eldiario.es/sociedad/estudio-revela-denuncias-callejero-Madrid_0_821718244.html
El plan de Barcelona de reservar un 30% de vivienda para uso protegido extiende el debate al área metropolitana;news;04/10/2018;mejores_ciudades;Pau Rodríguez;;;eldiario.es/catalunya/metropolitana-debate-Barcelona-destinar-vivienda_0_820668345.html
Las empresas aprovechan la falta de regulación para convertir la movilidad verde en un negocio privado;news;26/09/2018;mejores_ciudades;Raúl Rejón;;;eldiario.es/sociedad/empresas-aprovechan-regulacion-convertir-movilidad_0_818569003.html
Las comunidades de vecinos dejarán de estar obligadas a tener unanimidad para tomar decisiones;news;25/09/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/comunidades-vecinos-obligadas-unanimidad-decisiones_0_818218369.html
Las comunidades de vecinos podrán impedir las viviendas de uso turístico por mayoría de tres quintos;news;24/09/2018;mejores_ciudades;Mónica Martín;;;eldiario.es/economia/comunidades-vecinos-viviendas-turistico-Industria_0_817868534.html
El Gobierno endurecerá la lucha contra la compraventa y el alquiler fraudulento de vivienda protegida ;news;22/09/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Gobierno-aumentara-sanciones-compraventa-fraudulenta_0_816468497.html
Los gobernantes brasileños se olvidan de las favelas, que reinventan su movilidad urbana con apps alternativas;news;22/09/2018;mejores_ciudades;Víctor David López;;;eldiario.es/internacional/gobernantes-brasilenos-reinventan-movilidad-alternativas_0_816818977.html
Nuevas áreas solo para residentes y menos autovías: propuestas vecinales para mejorar la movilidad de Madrid;news;20/09/2018;mejores_ciudades;Fátima Caballero;;;eldiario.es/madrid/Nuevas-residentes-propuestas-solucionar-Madrid_0_816119488.html
Nueva York consigue frenar la epidemia de muertes por atropellos en sus calles;news;18/09/2018;mejores_ciudades;Laura Laker;;;eldiario.es/theguardian/Nueva-York-consigue-epidemia-atropellos_0_815769176.html
La ley de la PAH para regular los precios del alquiler vuelve al Congreso sin los apoyos necesarios garantizados;news;17/09/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/accidentado-periplo-PAH-superaran-Congreso_0_815418614.html
Alemania endurece la ley para frenar las subidas de alquileres, aunque en Berlín los cambios suenan insuficientes;news;14/09/2018;mejores_ciudades;Aldo Mas;;;eldiario.es/economia/Alemania-endurece-alquileres-Berlin-insuficientes_0_814368959.html
El Gobierno quiere evitar que la vivienda pública acabe en el mercado libre al cabo de unos años;news;13/09/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/VPO-construida-publico-proteccion-pasados_0_814018734.html
Garrido convertirá en gratuitos aparcamientos disuasorios para quienes entren a la capital en transporte público;news;13/09/2018;mejores_ciudades;Sofía Pérez Mendoza;;;eldiario.es/madrid/Garrido-gratuitos-aparcamientos-periferia-transporte_0_813669515.html
“Quizás nos hayamos olvidado de cómo construir ciudades”;opinion;11/09/2018;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/olvidado-construir-ciudades_6_813378655.html
El Gobierno sopesa un régimen distinto entre particulares y empresas para que saquen al mercado sus viviendas vacías;news;10/09/2018;mejores_ciudades;Marina Estévez Torreblanca,Ana Ordaz;;;eldiario.es/economia/Gobierno-regimen-distinto-viviendas-particulares_0_812968759.html
El curioso caso de los patinetes y otros servicios de movilidad a los que no se aplican las normas (menos en Valencia);opinion;07/09/2018;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/Bartleby-Valencia-patinetes-Lime-compartida_6_811978795.html
Un local vacío y una empresa fantasma: qué hay detrás de la oferta de pisos colmena de Barcelona;news;06/09/2018;mejores_ciudades;Pau Rodríguez;;;eldiario.es/catalunya/capsula-pisos-colmena-Barcelona-desafian-reglamento_0_810869386.html
Qué es y por qué ocurre la 'gentrificación';opinion;03/09/2018;mejores_ciudades;Álvaro Ardura,Daniel Sorando;;;eldiario.es/alternativaseconomicas/ocurre-gentrificacion_6_810578951.html
Berlín vive un 'boom' de empresas de alquiler de bicicletas;news;01/09/2018;mejores_ciudades;Aldo Mas;;;eldiario.es/economia/Demasiadas-bicis-alquiler-Berlin_0_809469154.html
Un año para dar los pasos decisivos hacia un centro de València peatonalizado;news;27/08/2018;mejores_ciudades;Carlos Navarro Castelló;;Valencia;eldiario.es/cv/Ribo-apuntalar-peatonalizacion-centro-Valencia_0_808069680.html
¿Qué hacemos con los nuevos cacharros de movilidad eléctrica?;opinion;26/08/2018;mejores_ciudades;Pedro Bravo;;;eldiario.es/desde-mi-bici/hacemos-nuevos-cacharros-movilidad-electrica_6_807079306.html
Ciudad Abierta;opinion;26/08/2018;mejores_ciudades;Baltasar Garzón;Jurista y promotor de Actúa;;eldiario.es/tribunaabierta/Ciudad-Abierta_6_807429256.html
El polémico informe sobre la vivienda turística resucita las discrepancias en la CNMC sobre la regulación de Airbnb y Uber;news;22/08/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/discrepancias-CNMC-regulacion-Airbnb-Uber_0_805969495.html
Competencia comparte en su informe sobre el alquiler turístico en España argumentos del lobby de Airbnb en Bruselas ;news;18/08/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Competencia-alinea-argumentos-Airbnb-Bruselas_0_804219755.html
"La CNMC no ve ""evidencia empírica"" de la presión de Airbnb sobre el precio de la vivienda ";news;13/08/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/CNMC-evidencia-empirica-magnitud-Airbnb_0_803169911.html
El Gobierno pretende elevar por ley la calidad mínima de las viviendas;news;12/08/2018;mejores_ciudades;Marina Estévez Torreblanca;;;eldiario.es/economia/Gobierno-planteara-calidad-minima-viviendas_0_799670514.html
